DATE,sp500,daily_return
4/11/2014,1815.69,-0.009486765
4/14/2014,1830.61,0.008217262
4/15/2014,1842.98,0.00675731
4/16/2014,1862.31,0.010488448
4/17/2014,1864.85,0.001363898
4/22/2014,1879.55,0.004092121
4/23/2014,1875.39,-0.002213296
4/24/2014,1878.61,0.001716976
4/25/2014,1863.4,-0.008096412
4/28/2014,1869.43,0.00323602
4/29/2014,1878.33,0.004760809
4/30/2014,1883.95,0.00299202
5/1/2014,1883.68,-0.000143316
5/2/2014,1881.14,-0.001348424
5/5/2014,1884.66,0.001871206
5/6/2014,1867.72,-0.008988359
5/7/2014,1878.21,0.005616474
5/8/2014,1875.63,-0.001373648
5/9/2014,1878.48,0.001519489
5/12/2014,1896.65,0.009672714
5/13/2014,1897.45,0.000421796
5/14/2014,1888.53,-0.004701046
5/15/2014,1870.85,-0.009361779
5/16/2014,1877.86,0.00374696
5/19/2014,1885.08,0.003844802
5/20/2014,1872.83,-0.006498398
5/21/2014,1888.03,0.00811606
5/22/2014,1892.49,0.002362251
5/23/2014,1900.53,0.004248371
5/28/2014,1909.78,-0.001114069
5/29/2014,1920.03,0.00536711
5/30/2014,1923.57,0.001843721
6/2/2014,1924.97,0.000727813
6/3/2014,1924.24,-0.000379227
6/4/2014,1927.88,0.001891656
6/5/2014,1940.46,0.006525302
6/6/2014,1949.44,0.004627769
6/9/2014,1951.27,0.000938731
6/10/2014,1950.79,-0.000245994
6/11/2014,1943.89,-0.003537029
6/12/2014,1930.11,-0.007088878
6/13/2014,1936.16,0.003134536
6/16/2014,1937.78,0.000836708
6/17/2014,1941.99,0.002172589
6/18/2014,1956.98,0.007718886
6/19/2014,1959.48,0.001277479
6/20/2014,1962.87,0.001730051
6/23/2014,1962.61,-0.000132459
6/24/2014,1949.98,-0.006435308
6/25/2014,1959.53,0.004897486
6/26/2014,1957.22,-0.001178854
6/27/2014,1960.96,0.001910874
6/30/2014,1960.23,-0.000372267
7/1/2014,1973.32,0.006677788
7/2/2014,1974.62,0.000658788
7/3/2014,1985.44,0.005479535
7/8/2014,1963.71,-0.00704877
7/9/2014,1972.83,0.00464427
7/10/2014,1964.68,-0.004131121
7/11/2014,1967.57,0.001470977
7/14/2014,1977.1,0.004843538
7/15/2014,1973.28,-0.001932123
7/16/2014,1981.57,0.004201127
7/17/2014,1958.12,-0.011834051
7/18/2014,1978.22,0.010264948
7/21/2014,1973.63,-0.002320268
7/22/2014,1983.53,0.005016138
7/23/2014,1987.01,0.001754448
7/24/2014,1987.98,0.000488171
7/25/2014,1978.34,-0.004849143
7/28/2014,1978.91,0.00028812
7/29/2014,1969.95,-0.004527745
7/30/2014,1970.07,6.09E-05
7/31/2014,1930.67,-0.019999289
8/1/2014,1925.15,-0.002859111
8/4/2014,1938.99,0.00718905
8/5/2014,1920.21,-0.009685455
8/6/2014,1920.24,1.56E-05
8/7/2014,1909.57,-0.005556597
8/8/2014,1931.59,0.011531392
8/11/2014,1936.92,0.002759385
8/12/2014,1933.75,-0.001636619
